--------- beginning of crash
03-11 19:04:24.890  1460  1460 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-commit-id:8f279a13f0709684183c66949c3aedba30471847
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-change-id:I9678c768ba1e3699d9c1b78051980c2e6eb41dfa
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-merge-id:none
03-11 19:04:25.191  1507  1594 I libGLES_mali: mtk-brm-commit-id:2dd3679a7a9ae1ac1c71018445b123e29438be5c
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-change-id:I2fd435266d7e8eadf0bdf45a2881b673239705c1
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-merge-id:none
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-commit-id:161f105d8fdcda4d5f9ff10858623788849cd706
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-change-id:I3cc60e15bedb425deae97e4ba62ce9795469d0f0
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-merge-id:none
03-11 19:04:25.226  1612  1612 I thermal_core: mtk-brm-commit-id:234641ae27aad1cfcf52a5ba536c107c965a52ab
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-change-id:Ieb2106d5ec215adedae5ff15a92923dc35fdb2bc
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-merge-id:none
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-commit-id:25a38658d8fcdbb20664f319d3ecf9d75fd3654c
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-change-id:I98bca291cad1df955fc3a2dd4a672c689604df9b
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-merge-id:none
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-commit-id:e0b1e6a299e09326d1e3c00df0bee88777f15fb0
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-change-id:Ia06225ca2806a5f28be95902c2303b12e9a90c38
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-commit-id:86b746c21fd235c214611f3344cf70649e895fd7
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-change-id:I44c926fb2a62b0816d0a8d12e3957bca373f1721
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-merge-id:none
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-commit-id:83b79bc206164073c4933dac9048e8bbf2468a2f
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-change-id:I3f996dc2e36f9014a83a3c7740956ca173b56f36
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-merge-id:none
03-11 19:04:25.375  1607  1607 I gpu_nn  : mtk-brm-commit-id:0b5fce9d2ecbb9be75db033475f121621364bbd0
03-11 19:04:25.377  1607  1607 I gpu_nn  : mtk-brm-change-id:Icf488c65b434d1938ee3d916fb07216f278b708b
03-11 19:04:25.378  1607  1607 I gpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-commit-id:9d634ad4aaec05afd61a48cc390c2f3e7ba213ba
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-change-id:I95f7f5b11ef3b8f02e5bc26abd93bf70033f9e48
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-merge-id:none
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-commit-id:dd4929e6a71bd0be06b2d18234833692e8dec44f
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-change-id:I4260c971d731b542818aac96725266c809617407
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-merge-id:none
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-commit-id:74ef16098784dd698d10950c8fd3f47295ee3fc0
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-change-id:I4b22c22d8511bdb8c07debbac82b1564676111e8
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-merge-id:none
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-commit-id:42dd6e7f89438f3318124f9493ca62ece27e05cf
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-change-id:Ifa8f19c763601e53c5a662fc54eb11853ade09e0
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-merge-id:none
03-12 15:00:51.829 10925 10925 E AndroidRuntime: FATAL EXCEPTION: main
03-12 15:00:51.829 10925 10925 E AndroidRuntime: Process: app.revenge, PID: 10925
03-12 15:00:51.829 10925 10925 E AndroidRuntime: java.lang.ExceptionInInitializerError
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at org.lsposed.lspatch.metaloader.LSPAppComponentFactoryStub.a(Unknown Source:451)
03-13 00:28:21.694  2101  2286 D VibratorManagerService: Vibration for uid=10198 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0} ended with status FINISHED
03-13 00:28:21.735 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-full/21220-mother-of-learning.jpg?time=1637247458
03-13 00:28:21.735 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-full/36735-the-perfect-run.jpg?time=1604749383
03-13 00:28:21.736 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/21410-super-minion.jpg?time=1679784929
03-13 00:28:21.736 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/54508-the-unexpected-engagement-of-the-marvelous.jpg?time=1737062512
03-13 00:28:21.737 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/65629-the-game-at-carousel-a-horror-movie-litrpg.jpg?time=1681708250
03-13 00:28:21.737 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/107917-sky-pride.jpg?time=1759762861
03-13 00:28:21.738 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/104434-the-elf-who-would-become-a-dragon-a-cosy.jpg?time=1753224713
03-13 00:28:21.738 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/62125-ghost-in-the-city-cyberpunk-gamer-si.jpg?time=1691989644
03-13 00:28:21.738 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/92144-the-legend-of-william-oh.jpg?time=1770708506
03-13 00:28:21.739 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/sublight-drive-aaaabvosxrm.jpg?time=1691249484
03-13 00:28:21.739 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/149866-aura-overload.jpg?time=1769279855
03-13 00:28:21.739 20228 20228 I RealImageLoader: 🧠 Successful (MEMORY_CACHE) - https://www.royalroadcdn.com/public/covers-large/65058-pale-lights.jpg?time=1745679158
03-13 00:28:21.780  1507  1879 D SurfaceFlinger: calculateTimeoutTime, triggerInterval = 2 sec + 853897308 nsec
03-13 00:28:21.780  1507  1878 D SurfaceFlinger: calculateTimeoutTime, triggerInterval = 2 sec + 853879385 nsec
03-13 00:28:21.794  2556  2556 D BackPanelController: updateArrowState FLUNG -> COMMITTED
03-13 00:28:21.915  2556  2556 D BackPanelController: updateArrowState COMMITTED -> GONE
03-13 00:28:21.930  2556  2556 D BLASTBufferQueue: [VRI[EdgeBackGestureHandler0]#1214](f:0,a:4) destructor()
03-13 00:28:21.930  2556  2556 D BufferQueueConsumer: [VRI[EdgeBackGestureHandler0]#1214(BLAST Consumer)1214](id:9fc000004be,api:0,p:-1,c:2556) disconnect
03-13 00:28:21.930  1507  2215 I SurfaceFlinger: setDesiredDisplayModeSpecs: calling_process=system_server
03-13 00:28:21.931  1507  1507 I SurfaceFlinger: setDesiredDisplayModeSpecs: policy={defaultModeId=1, allowGroupSwitching=false, primaryRanges={physical=[0.00 Hz, 120.10 Hz], render=[0.00 Hz, 90.00 Hz]}, appRequestRanges={physical=[0.00 Hz, 120.10 Hz], render=[0.00 Hz, 90.00 Hz]} idleScreenConfig=nullptr}
03-13 00:28:21.931  1507  1507 I RefreshRateSelector: Display 4627039422300187648 policy changed
03-13 00:28:21.931  1507  1507 I RefreshRateSelector: Previous: {defaultModeId=0, allowGroupSwitching=false, primaryRanges={physical=[120.00 Hz, 120.10 Hz], render=[120.00 Hz, 120.00 Hz]}, appRequestRanges={physical=[120.00 Hz, 120.10 Hz], render=[120.00 Hz, 120.00 Hz]} idleScreenConfig=nullptr}
03-13 00:28:21.931  1507  1507 I RefreshRateSelector: Current:  DisplayManagerPolicy{defaultModeId=1, allowGroupSwitching=false, primaryRanges={physical=[0.00 Hz, 120.10 Hz], render=[0.00 Hz, 90.00 Hz]}, appRequestRanges={physical=[0.00 Hz, 120.10 Hz], render=[0.00 Hz, 90.00 Hz]} idleScreenConfig=nullptr}
03-13 00:28:21.931  1507  1507 I RefreshRateSelector: 0 mode changes were performed under the previous policy
03-13 00:28:21.931  1507  1507 D DisplayModeController: setDesiredMode 4627039422300187648 {mode={fps=90.00 Hz, modePtr={id=1, vsyncRate=90.00 Hz, peakRefreshRate=90.00 Hz}}, emitEvent=true, force=false}
03-13 00:28:21.932  1507  1507 D Scheduler: MtkOverrideDuration: update vsync 90
03-13 00:28:21.932  1507  1507 E SurfaceFlinger: MtkDuration override mode is disabled
03-13 00:28:21.932  1507  1507 D Scheduler: MtkOverrideDuration: reset override duration
03-13 00:28:21.932  1507  1507 I PowerHalWrapper: updateFps(): 90
03-13 00:28:21.934  1507  1507 I SurfaceFlinger: onHandleDestroyed: layerId=18177, name=EdgeBackGestureHandler0#18177
03-13 00:28:21.934  1460  1882 I hwcomposer: [HWCDisplay] (0) setActiveConfigWithConstraints config:1  
03-13 00:28:21.934  1460  1882 I hwcomposer: [HWCDisplay] setActiveConfigWithConstraints(), now 99058298630519, diff 246539, estimated_applied_time 8333333 queued_size:0  
03-13 00:28:21.918  1848  1848 I         : [DISP]mtk_drm_crtc_mode_check++ from 0 to 1
03-13 00:28:21.918  1848  1848 I         : [DISP]mtk_crtc_disp_mode_switch_begin++ from 0 to 1
03-13 00:28:21.918  1848  1848 I         : [DISP]mtk_crtc_disp_mode_switch_begin++ from 120 to 90
03-13 00:28:21.918  1848  1848 I [DISP][fps]: drm_invoke_fps_chg_callbacks,new_fps =90
03-13 00:28:21.918   247   247 I         : [DISP]mtk_drm_mode_switch_thread++
03-13 00:28:21.918  1848  1848 I         : [DISP]mtk_crtc_disp_mode_switch_begin--
03-13 00:28:21.918   247   247 I         : [DISP]mtk_drm_mode_switch_thread--
03-13 00:28:21.940  1507  1507 I PowerHalWrapper: updateFps(): 90
03-13 00:28:21.940  1507  1507 D SurfaceFlinger: finalizeDisplayModeChange: display size = 1
03-13 00:28:21.940  1507  1507 I PowerHalWrapper: mEnableMultiDisplayMode enable=0 fps=90
03-13 00:28:21.941  2101  2167 I DisplayDeviceRepository: Display device changed render timings: "Built-in Screen", renderFrameRate=90.0, presentationDeadlineNanos=14100000, appVsyncOffsetNanos=5633333, frameRateOverrides=[]
03-13 00:28:21.943  2101  2165 D WindowManager: DeferredDisplayUpdater: partially applying DisplayInfo(1080 x 2392) immediately
03-13 00:28:21.943  2101  2447 D AudioSystem: +setParameters(): screen_state=on 
03-13 00:28:21.943  1507  1507 I PowerHalWrapper: updateFps(): 90
03-13 00:28:21.943  1499  2448 D AudioFlinger: setParameters: filtered keyvalue screen_state=on
03-13 00:28:21.944  1453  1453 D AudioALSAHardware: +setParameters(): screen_state=on(mAudioALSAHardware addr 0xb400007956d1f010), newKey null
03-13 00:28:21.944  1453  1453 D AudioALSAStreamOut: +setScreenState(), flag 2, mode 1
03-13 00:28:21.944  1453  1453 D AudioALSAStreamOut: +setScreenState(), flag 8, mode 1
03-13 00:28:21.944  1453  1453 D AudioALSAStreamOut: +setScreenState(), flag 4, mode 1
03-13 00:28:21.944  1453  1453 D AudioALSAStreamOut: +setScreenState(), flag 32768, mode 1
03-13 00:28:21.944  1453  1453 D AudioALSAStreamOut: +setScreenState(), flag 65536, mode 1
03-13 00:28:21.944  1453  1453 D AudioALSAHardware: -setParameters(): screen_state=on
03-13 00:28:21.945  1460  3281 I hwcomposer: [HWCDisplay] updateAppliedConfigState: applied config complete[idx:4992, config:1]  
03-13 00:28:21.951  2101  2283 D ActivityManager: freezing 8762 com.google.android.gms.ui
03-13 00:28:21.929   329   329 I instant_current: cic_idx:0
03-13 00:28:22.011 20049 20049 I chg_check_pmic_info: psp:65 - 1
03-13 00:28:22.019 20049 20049 I [check_chg_status]vbus: 4968750,{6200000 ~ 4400000 ~ 0}
03-13 00:28:22.019 20049 20049 E check_pps_status: typec_attach=1, pd_type=6
03-13 00:28:22.019 20049 20049 I check_abnormal_status: [nt_abnormal_status] : 0
03-13 00:28:22.019 20049 20049 E cooling_state_to_charger_limit: lst_rnd_alg_idx :-1
03-13 00:28:22.028 20049 20049 I chg_check_pmic_info: psp:64 - 4
03-13 00:28:22.028 20049 20049 E         : chg_check_status Couldn't get psy
03-13 00:28:22.030 20049 20049 I chg_check_pmic_info: psp:0 - 3
03-13 00:28:22.031 20049 20049 I Pump    : 0x1,pump_en:0,ovp:1,wpc:0, fcc:-6,fv:4490,icl:500,ibus_ma:222500,usb_sus:0,wls_sus:0,BattInit:1, chg_type:4,soc:89,soc_time:0,soc_pre:89,real_cap:4509630,htemp_charge:0,plug_in:1,plugGpio:1,usbTemp:31,battTemp:33,CHG_EN:0,CHG_STATUS:3,AICL:-1,AICR:500,CV:4490,MIVR:4400,ICHG:500,BOOST_CV:4650,BOOST_EN:0,BOOST_CC:2400,aging_mode:0,NT_CHG_TYPE:SDP,CAM_LMT:{[ON_OFF]9000,[HV_CHG]1,[LMT_C]-1,hvcharger:0}
03-13 00:28:22.032 20049 20049 I [NT]lst_rnd_alg_idx: -1
03-13 00:28:22.036  7366  7366 I soc_handler: 274 soc and temperature are all the same
03-13 00:28:22.036  7366  7366 I <99058.400>TCPC-TCPC: bat_update_work_func Battery Idle, soc = 89
03-13 00:28:22.053  1461  1461 W healthd : soc_b:89, soc:89, soc_c:90, Vol:4326, Cur:-6,chg_s:1,t_l:4691,b_s:4,OffTlast:0,lcd_off:0,Vu:4981,Vw:0,pid:1461,brightness:4.651900,rmCap:4509
03-13 00:28:22.053  1461  1461 W healthd : battery l=90 v=4326 t=33.0 h=2 st=4 c=-6300 fc=5067000 cc=214 chg=u
03-13 00:28:22.076  1461  1461 W healthd : soc_b:89, soc:89, soc_c:90, Vol:4326, Cur:-6,chg_s:1,t_l:4691,b_s:4,OffTlast:0,lcd_off:0,Vu:4956,Vw:0,pid:1461,brightness:4.651900,rmCap:4509
03-13 00:28:22.077  1461  1461 W HealthLoop: debug.nt.screen_brightness:4.651900
03-13 00:28:22.146  1685  2014 D ULogGuard: Monitoring: 17 threads, 0 requests, 0 time-bombs; 4 guards. ResetFlags = 0x7
03-13 00:28:22.169  1576  1576 I touch_boost: enable=1, boost_up=0, boost_down=1, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:22.171  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:22.148   775   775 D [FTS_TS]fts_input_report_b: [B]P0(748, 2035)[p:63,tm:11] DOWN!
03-13 00:28:22.237  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:75.584999,dur:1031.95,max:293.12,min:4.87  
03-13 00:28:22.219   775   775 D [FTS_TS]fts_input_report_b: [B]P0 UP!
03-13 00:28:22.219   775   775 D [FTS_TS]fts_input_report_b: [B]Points All Up!
03-13 00:28:22.243 20228 20228 I ScrollIdentify: on fling
03-13 00:28:22.289  1576  1576 I touch_boost: enable=0, boost_up=0, boost_down=1, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:22.290  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:22.347 20228 20322 E BLASTBufferQueue: [VRI[MainActivity]#1](f:1,a:7) acquireNextBufferLocked: Can't acquire next buffer. Already acquired max frames 7 max:5 + 2
03-13 00:28:22.373 20228 20322 E BLASTBufferQueue: [VRI[MainActivity]#1](f:1,a:7) acquireNextBufferLocked: Can't acquire next buffer. Already acquired max frames 7 max:5 + 2
03-13 00:28:22.375  1576  1576 I touch_boost: enable=1, boost_up=0, boost_down=1, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:22.354   775   775 D [FTS_TS]fts_input_report_b: [B]P0(791, 1973)[p:63,tm:11] DOWN!
03-13 00:28:22.377  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:22.377 20228 20228 D BLASTBufferQueue: [VRI[MainActivity]#1] BLASTBufferQueue::presentLatest
03-13 00:28:22.491  1576  1576 I touch_boost: enable=0, boost_up=0, boost_down=0, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:22.492  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:22.548 20228 20228 I ScrollIdentify: on fling
03-13 00:28:22.524   318   318 I instant_current: cic_idx:0
03-13 00:28:22.524   775   775 D [FTS_TS]fts_input_report_b: [B]P0 UP!
03-13 00:28:22.524   775   775 D [FTS_TS]fts_input_report_b: [B]Points All Up!
03-13 00:28:22.535   318   318 I         : Vbat=4326 vbats=4330 vbus:4900 ibus:400 I=-112 T=33 uisoc:89 type:usb>usb pd:6 swchg_ibat:0 cv:4490000 cmd_pp:-1
03-13 00:28:22.535   318   318 I mtk_charger_start_timer: alarm timer start:0, 105897 850579108
03-13 00:28:22.536   318   318 I         : [PE50]pe50_is_algo_waiver waiver = 0
03-13 00:28:22.536   318   318 I         : [PE50]pe50_is_algo_finish ALGO FINISH  = 0
03-13 00:28:22.536   318   318 I pd_adapter pd-adapter: pd_authentication pd type is not snk apdo
03-13 00:28:22.536   318   318 I pe50_hal_is_pd_adapter_ready type: 6
03-13 00:28:22.543   318   318 I         : F_VMIVR, val=4400
03-13 00:28:22.543   318   318 I         : [NT_SW_JEITA] Battery Normal Temperature between 20 and 35 !!
03-13 00:28:22.543   318   318 E [NT_SW_JEITA]preState: 3 newState:3 tmp:33 cv:4490000 chg:1 ieoc:800000
03-13 00:28:22.565   318   318 I sgm41606S 11-0065: sgm41606S_get_adc_data 9 34
03-13 00:28:22.596  1473  1527 I libPerfCtl: xgfGetFPS pid:2556 fps:-1
03-13 00:28:22.596  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:90
03-13 00:28:22.579   318   318 I tmp     : 33 (jeita:1 sm:3 cv:4490000 en:1) (sm:1) en:0 c:1 s:0 ov:0 0 sc:0 0 0 saf_cmd:-1 bat_mon:1 0 uisoc_ctrl:89 0
03-13 00:28:22.579   318   318 I mtk_charger_enable_power_path_cust: area_id(0), disable_pp(u=0,p=0), en_pp = 1
03-13 00:28:22.579   318   318 I mtk_charger_enable_power_path_cust: power path is already en = 1
03-13 00:28:22.579   318   318 I [sc]disable_charger: 0
03-13 00:28:22.586   318   318 I [sc1]en : 0 t:0,80000,68302,11698 t:3600,8098,-1,-1 c:-112,2000 ibus:320 uisoc: 89,80 s:3000 ans:ignore
03-13 00:28:22.595   239   239 I [DISP]mtk_dsi_esd_cmp: expect[0x1], read[0x1]
03-13 00:28:22.829  2556  2685 D MobileConnectionRespositoryImpl: sim 0 callbackEvents received event: OnDataConnectionStateChanged(dataState=2)
03-13 00:28:22.830  2556  2685 D MobileConnectionRespositoryImpl: sim 0 dataConnectionState change to:Connected
03-13 00:28:22.839  2785  2785 D TelephonyManager: requestModemActivityInfo: Sending result to app: ModemActivityInfo{ mTimestamp=105888132 mSleepTimeMs=96240098 mIdleTimeMs=9101807 mActivityStatsTechSpecificInfo=[{mRat=UNKNOWN,mFrequencyRange=UNKNOWN,mTxTimeMs[]=[0, 31, 1008, 4878, 47615],mRxTimeMs=493719}]}
03-13 00:28:22.918 20228 20539 D skia    : SkJpegCodec::onGetPixels + (400, 600)
03-13 00:28:22.927 20228 20398 D skia    : SkJpegCodec::onGetPixels + (400, 600)
03-13 00:28:22.928 20228 20539 D skia    : SkJpegCodec::onGetPixels -
03-13 00:28:22.932 20228 20404 W HWUI    : Image decoding logging dropped!
03-13 00:28:22.934 20228 20228 I RealImageLoader: ☁️ Successful (NETWORK) - https://www.royalroadcdn.com/public/covers-full/beware-of-chicken-aacav1xoeg8.jpg?time=1610566797
03-13 00:28:22.935 20228 20539 W HWUI    : Image decoding logging dropped!
03-13 00:28:22.935 20228 20398 D skia    : SkJpegCodec::onGetPixels -
03-13 00:28:22.935  1576  1576 I touch_boost: enable=1, boost_up=0, boost_down=1, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:22.914   775   775 D [FTS_TS]fts_input_report_b: [B]P0(770, 2064)[p:63,tm:11] DOWN!
03-13 00:28:22.938  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:22.939 20228 20228 I RealImageLoader: ☁️ Successful (NETWORK) - https://www.royalroadcdn.com/public/covers-large/26675-a-journey-of-black-and-red.jpg?time=1694070241
03-13 00:28:22.941 20228 20398 W HWUI    : Image decoding logging dropped!
03-13 00:28:22.954 20228 20228 I RealImageLoader: ☁️ Successful (NETWORK) - https://www.royalroadcdn.com/public/covers-large/48402-magical-girl-gunslinger.jpg?time=1693597835
03-13 00:28:22.948   151   151 I         : [wdk-c] cpu=7 o_k=7 lbit=0x80 cbit=0xff,7f,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059312039432,15000000] 22 ffffffff s_cpu 7 - 0 0 0 0 0 0 0 0
03-13 00:28:22.948   151   151 I wdt_dump_cntcv CPU: 7 CNTCV_CTL:1 CNTCV_TVAL:b4d4 CNTVCT:14085304777 SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:14085304778
03-13 00:28:22.950   150   150 I         : [wdk-c] cpu=6 o_k=6 lbit=0xc0 cbit=0xff,3f,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059314101663,14997926] 22 ffffffff
03-13 00:28:22.950   150   150 I wdt_dump_cntcv CPU: 6 CNTCV_CTL:1 CNTCV_TVAL:10a632 CNTVCT:14085304d6b SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:14085304d6c
03-13 00:28:22.954   148   148 I         : [wdk-c] cpu=4 o_k=4 lbit=0xd0 cbit=0xff,2f,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059318411740,14993617] 22 ffffffff
03-13 00:28:22.954   148   148 I wdt_dump_cntcv CPU: 4 CNTCV_CTL:1 CNTCV_TVAL:b480 CNTVCT:140853047cb SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:140853047cc
03-13 00:28:22.963   149   149 I         : [wdk-c] cpu=5 o_k=5 lbit=0xf0 cbit=0xff,f,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059327167817,14984860] 22 ffffffff
03-13 00:28:22.963   149   149 I wdt_dump_cntcv CPU: 5 CNTCV_CTL:1 CNTCV_TVAL:af9c CNTVCT:14085304caf SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:14085304cb0
03-13 00:28:23.021  1576  1576 I touch_boost: enable=0, boost_up=0, boost_down=0, render_deboost=0, active_time=100, duration=120, idleprefer(TA,FG)=(0,0), util(TA,FG)=(0,0), freq(c0,c1,c2)=(1800000,900000,0)
03-13 00:28:23.022  1576  1576 I touch_boost: set_top_grp_aware
03-13 00:28:23.023 20228 20228 I ScrollIdentify: on fling
03-13 00:28:23.000   775   775 D [FTS_TS]fts_input_report_b: [B]P0 UP!
03-13 00:28:23.000   775   775 D [FTS_TS]fts_input_report_b: [B]Points All Up!
03-13 00:28:23.025   329   329 I instant_current: cic_idx:0
03-13 00:28:23.031   147   147 I         : [wdk-c] cpu=3 o_k=3 lbit=0xf8 cbit=0xff,7,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059395537355,14916496] 22 ffffffff
03-13 00:28:23.031   147   147 I wdt_dump_cntcv CPU: 3 CNTCV_CTL:1 CNTCV_TVAL:b4c4 CNTVCT:14085304788 SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:14085304784
03-13 00:28:23.031   146   146 I         : [wdk-c] cpu=2 o_k=2 lbit=0xfc cbit=0xff,3,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059395667509,14916359] 22 ffffffff
03-13 00:28:23.031   144   144 I         : [wdk-c] cpu=0 o_k=0 lbit=0xfd cbit=0xff,2,7,1,231594461,ff,80512656,1135516,80512791,1135519,[99059395685894,14916337] 22 ffffffff
03-13 00:28:23.031   146   146 I wdt_dump_cntcv CPU: 2 CNTCV_CTL:1 CNTCV_TVAL:b4bc CNTVCT:14085304793 SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:1408530478c
03-13 00:28:23.031   144   144 I wdt_dump_cntcv CPU: 0 CNTCV_CTL:1 CNTCV_TVAL:b4cd CNTVCT:1408530477f SYST_CNTCR:4490d SYST_DISTL:0 SYST_CNTCV:1408530477b
